roundId,incidentId,item,systemValue,observerValue,score1to5,notes
R001,64902970-d038-4730-8a89-de69a310b7cd,round_id,,R001,,
R001,64902970-d038-4730-8a89-de69a310b7cd,scenario_location,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,observer_name,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,trigger_to_dispatch_seconds,5,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,trigger_to_first_responder_response_seconds,18,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,trigger_to_cpr_seconds,18,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,trigger_to_aed_pickup_seconds,42,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,trigger_to_aed_delivery_seconds,78,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,trigger_to_ambulance_handover_seconds,126,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,role_assignment_clarity,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,task_instruction_clarity,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,stress_scenario_operability,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,dispatch_reasonableness,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,aed_location_prompt_usefulness,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,data_record_completeness,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,observed_blocking_step,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,unsafe_or_misleading_copy,,,,
R001,64902970-d038-4730-8a89-de69a310b7cd,participant_open_feedback,,,,
